Energy,Flux
0.6, 2.1827E+11
1.0, 1.2729E+11
2.0, 1.1726E+10
3.0, 9.5655E+09
4.0, 8.6148E+09
5.0, 7.3499E+09
6.0, 6.0667E+09
7.0, 4.9327E+09
8.0, 4.0350E+09
9.0, 3.3256E+09
10.0, 2.8607E+09
20.0, 6.7968E+08
30.0, 4.8172E+07
40.0, 3.0394E+06
50.0, 2.4628E+05
60.0, 1.0601E+05
70.0, 5.7122E+04
80.0, 3.3408E+04
90.0, 2.0662E+04
100.0, 1.4951E+04
200.0, 1.8925E+03
300.0, 1.1617E+02
400.0, 1.4239E+01
500.0, 2.2196E+00
600.0, 1.0038E+00
700.0, 1.2393E+00
800.0, 4.1784E-01
