Title = Jupiter Capture Orbit
Planet = Jupiter
Coordinates = PEI
Columns = JDCT, X, Y, Z
Format = CSV
$$BEGIN
2462504.625,-744655.6112135472,-313558.9961946209,-55323.78330612768
2462504.6666666665,-711864.6001586395,-326801.43317970156,-57659.0444372042
2462504.7083333335,-676660.255666943,-338934.0912078544,-59798.526446779186
2462504.75,-638915.4094691409,-349791.9435811206,-61713.1088039273
2462504.7916666665,-598483.6436857071,-359175.87824291066,-63367.6578703093
2462504.8333333335,-555195.7389758386,-366841.9381050407,-64719.12910803238
2462504.875,-508855.419214848,-372485.98329320585,-65713.8617386777
2462504.9166666665,-459234.4301266802,-375721.22171343816,-66283.61542012732
2462504.9583333335,-406067.32891314087,-376044.2417735881,-66339.57879557251
2462505.0,-349047.3165794561,-372781.76336040406,-65762.97693491295
2462505.0416666665,-287827.1133885926,-365003.5622473827,-64389.71218689554
2462505.0833333335,-222036.60450988717,-351372.9525363137,-61983.991224471596
2462505.125,-151352.8573499384,-329875.5320832112,-58190.48002850283
2462505.1666666665,-75738.911198693,-297298.94207918044,-52442.5440801162
2462505.2083333335,3727.604762059912,-248206.9496757924,-43781.306000256795
2462505.25,81780.6369734482,-173230.96433964616,-30554.359396213375
2462505.2916666665,138518.9688094729,-60844.121607025445,-10728.95725809685
2462505.3333333335,134873.95870724818,73431.25230030516,12955.9364344364
2462505.375,73941.50159189195,181244.73630535824,31971.793550528946
2462505.4166666665,-5338.635204094663,251916.51526146065,44435.714181840405
2462505.4583333335,-85020.63901202541,297436.1135973939,52462.95446055027
2462505.5,-160429.30789700217,326833.4826799563,57646.41924781517
2462505.5416666665,-230646.1205810044,345350.5935909592,60910.78219707199
2462505.5833333335,-295758.4697328766,356108.6441222006,62806.620587216305
2462505.625,-356109.1734903606,361078.9318896778,63681.66710498679
2462505.6666666665,-412078.2406238638,361577.3048902932,63768.02554364263
2462505.7083333335,-464018.94198097585,358523.961200518,63228.00191768426
2462505.75,-512242.17962766526,352587.6896092749,62179.55190341536
2462505.7916666665,-557016.356035058,344270.388815396,60711.19213037872
2462505.8333333335,-598571.8523152958,333959.0175748741,58891.16521550949
2462505.875,-637106.3868092785,321958.87533908145,56773.31091246044
2462505.9166666665,-672790.0175109353,308515.6979599651,54400.963964488845
2462505.9583333335,-705769.4469042745,293830.78882244736,51809.62328455064
2462506.0,-736171.605971543,278071.664795752,49028.829894425566
2462506.0416666665,-764106.5972754708,261379.72743087081,46083.52008914212
2462506.0833333335,-789670.0998860726,243875.90959041502,42995.02144871595
2462506.125,-812945.3332482373,225664.9125828478,39781.80019783641
2462506.1666666665,-834004.6628956224,206838.44225783917,36460.031964755515
2462506.2083333335,-852910.9157630006,187477.72163931144,33044.04490301421
2462506.25,-869718.4593216528,167655.47273942488,29546.669157898545
2462506.2916666665,-884474.0874955961,147437.50387891597,25979.516725819554
2462506.3333333335,-897217.7472180694,126884.00077479711,22353.20904102885
2462506.375,-907983.1322355429,106050.59349600963,18677.565010057016
2462506.4166666665,-916798.1650036303,84989.2531535551,14961.758998298254
2462506.4583333335,-923685.3829234197,63749.05934279472,11214.456007001583
2462506.5,-928662.2414686797,42376.87024110018,7443.929671360064
2462506.5416666665,-931741.3437363291,20917.920797103085,3658.1675697317087
2462506.5833333335,-932930.6034399437,-583.6300924838595,-135.03246686340543
2462506.625,-932233.3462181997,-22084.185613450405,-3927.971901120772
2462506.6666666665,-929648.3522312207,-43540.21441830052,-7712.964092145324
2462506.7083333335,-925169.8412692423,-64907.756510317,-11482.247331400784
2462506.75,-918787.3999116394,-86141.91691688134,-15227.89571417562
2462506.7916666665,-910485.8485664357,-107196.33174139204,-18941.725125310135
2462506.8333333335,-900245.0444057961,-128022.58957440013,-22615.191333933733
2462506.875,-888039.6141995891,-148569.58857363,-26239.276720203452
2462506.9166666665,-873838.608731681,-168782.80552553423,-29804.361450604196
2462506.9583333335,-857605.0677370226,-188603.44746477614,-33300.073903589924
2462507.0,-839295.4809710098,-207967.44832461316,-36715.113711865364
2462507.0416666665,-818859.1269317052,-226804.26167369337,-40037.038760848074
2462507.0833333335,-796237.2656831285,-245035.38442661634,-43252.00460357039
2462507.125,-771362.1559359368,-262572.5232936238,-46344.440613676416
2462507.1666666665,-744155.8588254206,-279315.28223363525,-49296.641152421886
2462507.2083333335,-714528.7816748774,-295148.1999054946,-52088.241014678206
2462507.25,-682377.9050566138,-309936.892587724,-54695.53068187581
2462507.2916666665,-647584.6278561688,-323522.9473414538,-57090.54558241933
2462507.3333333335,-610012.1623953681,-335717.04517670296,-59239.83093205944
2462507.375,-569502.4120768066,-346289.5579303499,-61102.74085535766
2462507.4166666665,-525872.193773488,-354957.50123866665,-62629.09966471625
2462507.4583333335,-478908.4298520644,-361365.80634540675,-63755.99168833573
2462507.5,-428362.40837757173,-365058.7338173172,-64402.9410427088
2462507.5416666665,-373944.97978864255,-365435.1430559313,-64463.95677054112
2462507.5833333335,-315325.40423820174,-361677.5028432369,-63794.417620423636
2462507.625,-252140.95863495537,-352633.1327455477,-62187.43710551477
2462507.6666666665,-184043.31426807045,-336614.97835037863,-59330.33389606632
2462507.7083333335,-110831.97791308638,-311025.6881193518,-54766.583640500474
2462507.75,-32923.24235873495,-271576.7099326743,-47757.43187060469
2462507.7916666665,46943.400909997705,-210888.72889286932,-37012.65655223718
2462507.8333333335,117495.35283562836,-117346.58362050104,-20503.33494344151
2462507.875,145386.31244319413,11865.430342883095,2231.4976872611755
2462507.9166666665,105594.47966074896,135992.50634661957,24004.60655718874
2462507.9583333335,30301.39400893043,221508.49937567397,38956.719834869036
2462508.0,-50934.70867631112,275657.93808959314,48390.68569049189
2462508.0416666665,-129000.08243375963,309739.7258479983,54301.263835416845
2462508.0833333335,-201795.99596889902,330643.51249120344,57901.30532545011
2462508.125,-269110.50134070567,342390.4061391413,59897.667388072165
2462508.1666666665,-331230.2750201232,347451.63816567673,60724.342823955114
2462508.2083333335,-388548.2300056355,347436.8842684716,60663.81513513426
2462508.25,-441447.96331961965,343449.1364587118,59909.53714348887
2462508.2916666665,-490272.12426734733,336276.7836086963,58599.71738982203
2462508.3333333335,-535317.52330218,326503.47574247286,56836.63155293862
2462508.375,-576838.5608616262,314574.22869278694,54698.23551092485
2462508.4166666665,-615052.7459932909,300837.0001229395,52245.46582868282
2462508.4583333335,-650146.2004528971,285569.8595069032,49527.00866005509
2462508.5,-682278.5049530844,268999.3431289447,46582.52024497186
2462508.5416666665,-711586.7664774111,251313.21887904283,43444.86582332798
2462508.5833333335,-738188.963021449,232669.59366749047,40141.716570637596
2462508.625,-762186.6709951612,213203.5620557103,36696.71508394413
2462508.6666666665,-783667.2826079424,193032.16225267597,33130.343949369555
2462508.7083333335,-802705.8073647515,172258.14269274694,29460.585730271574
2462508.75,-819366.3353399656,150972.8779607063,25703.433832982362
2462508.7916666665,-833703.2244689025,129258.66736498693,21873.295190409663
2462508.8333333335,-845762.0609662628,107190.58031426625,17983.31356854539
2462508.875,-855580.431248682,84837.96644450338,14045.634196482775
2462508.9166666665,-863188.5351165466,62265.71707025078,10071.62492448754
2462508.9583333335,-868609.6630678461,39535.34298195036,6072.065346955876
2462509.0,-871860.5551403235,16705.918735642474,2057.312732547199
2462509.0416666665,-872951.6543336788,-6165.066566366278,-1962.5481739221873
2462509.0833333335,-871887.2641623161,-29020.91854307353,-5977.565605617834
2462509.125,-868665.6167134608,-51804.97687323299,-9977.786365052998
2462509.1666666665,-863278.8538021042,-74459.85566065153,-13953.121820124154
2462509.2083333335,-855712.9186654113,-96926.65539976864,-17893.209588466798
2462509.25,-845947.3502635403,-119144.11705448192,-21787.265807874886
2462509.2916666665,-833954.9696327524,-141047.68834842346,-25623.922134563032
2462509.3333333335,-819701.4481579928,-162568.4676190092,-29391.040541155784
2462509.375,-803144.7466485085,-183631.97906453037,-33075.49747143253
2462509.4166666665,-784234.4085118702,-204156.71663245384,-36662.9266012866
2462509.4583333335,-762910.6817376785,-224052.3731117367,-40137.405966849576
2462509.5,-739103.4352060823,-243217.64294454284,-43481.070105490275
2462509.5416666665,-712730.825220728,-261537.4459201264,-46673.62038240364
2462509.5833333335,-683697.6572524295,-278879.356437058,-49691.69558810585
2462509.625,-651893.3753363154,-295088.9276563255,-52508.048098724335
2462509.6666666665,-617189.5985208487,-309983.4518952181,-55090.44488246218
2462509.7083333335,-579437.114275133,-323343.4637058832,-57400.171359914224
2462509.75,-538462.2436783938,-334900.9089012226,-59389.94880641755
2462509.7916666665,-494062.54012539587,-344322.258178128,-61000.96276349618
2462509.8333333335,-446001.9420231178,-351183.72138067434,-62158.50281904408
2462509.875,-394005.9509911593,-354933.6860974476,-62765.35743551196
2462509.9166666665,-337758.6349210928,-354833.6627107559,-62691.433676133456
2462509.9583333335,-276906.63369808387,-349861.4067203447,-61756.73757136683
2462510.0,-211085.05638886552,-338544.06177278823,-59702.07933333821
2462510.0416666665,-140010.10139509264,-318654.90984231455,-56135.87782906099
2462510.0833333335,-63784.578615848215,-286633.57746488496,-50432.582771642745
2462510.125,16056.86924207276,-236467.83305977553,-41537.22640492429
2462510.1666666665,92746.53812970957,-158074.1581003065,-27684.659625804776
2462510.2083333335,142622.7872835974,-41383.075142669826,-7129.1362989786085
2462510.25,128082.69376689078,90596.36333608773,16048.366729951113
2462510.2916666665,61159.92168415386,190950.7430656852,33615.96861707424
2462510.3333333335,-20244.981379109384,254567.36702302474,44713.14971157907
2462510.375,-100540.3540004033,293741.5170378541,51516.12306614549
2462510.4166666665,-175753.63920233084,317148.52264575503,55553.3645605911
2462510.4583333335,-245178.20509428304,329847.88872410695,57714.676632693896
2462510.5,-308984.63789387885,334884.25385723065,58534.90748475098
2462510.5416666665,-367558.4000313182,334198.78837927006,58354.774380314215
2462510.5833333335,-421305.85329660407,329097.4247513889,57403.342989722
2462510.625,-470598.27669598407,320499.5854807733,55841.79636911228
2462510.6666666665,-515759.36627040186,309077.59871241957,53787.95133721729
2462510.7083333335,-557066.5957676682,295339.03731522796,51330.73195126551
2462510.75,-594756.5404692551,279677.67018330575,48539.12375701124
2462510.7916666665,-629030.763385141,262406.3133376386,45467.94171143959
2462510.8333333335,-660061.133397884,243778.78006245816,42161.672131737774
2462510.875,-687994.2947286402,224004.98581770508,38657.106542368245
2462510.9166666665,-712955.3362727681,203261.60569657417,34985.20049870725
2462510.9583333335,-735050.7923090867,181699.78183621,31172.42437533011
2462511.0,-754371.088621011,159450.83895653742,27241.769838221313
2462511.0416666665,-770992.5239215785,136630.62350140212,23213.5153368751
2462511.0833333335,-784978.8634344753,113342.87003870642,19105.819709735162
2462511.125,-796382.6105279418,89681.8694687205,14935.192074380437
2462511.1666666665,-805246.0103800447,65734.63232505697,10716.87234364989
2462511.2083333335,-811601.8280706868,41582.68724903506,6465.147312138807
2462511.25,-815473.9333277313,17303.61911941429,2193.6208756555225
2462511.2916666665,-816877.7155967653,-7027.572547888175,-2084.5473412708266
2462511.3333333335,-815820.3459126528,-31337.22999002586,-6356.423482760377
2462511.375,-812300.8958629468,-55551.853097353545,-10609.091341206104
2462511.4166666665,-806310.3183867569,-79596.92447571977,-14829.445754871385
2462511.4583333335,-797831.2899143521,-103395.69416720133,-19003.9788107029
2462511.5,-786837.9081110161,-126867.87138737793,-23118.549586640496
2462511.5416666665,-773295.2339387679,-149928.16310440173,-27158.126839594723
2462511.5833333335,-757158.6605795366,-172484.58634354014,-31106.49176455145
2462511.625,-738373.0846468684,-194436.46092953428,-34945.8843970976
2462511.6666666665,-716871.8467199259,-215671.95896348375,-38656.57187609502
2462511.7083333335,-692575.3982801493,-236065.04177895043,-42216.308765156005
2462511.75,-665389.640526428,-255471.54646148894,-45599.64754957293
2462511.7916666665,-635203.8677529339,-273724.07905153156,-48777.03896034115
2462511.8333333335,-601888.2358848978,-290625.20795411547,-51713.63300576537
2462511.875,-565290.6707748623,-305938.19005033147,-54367.64569881688
2462511.9166666665,-525233.1448767482,-319374.0340459995,-56688.08125224032
2462511.9583333335,-481507.31978176115,-330572.9819240993,-58611.47237165246
2462512.0,-433869.76346096006,-339077.2222513134,-60057.07875103165
2462512.0416666665,-382037.5310391406,-344289.3420362745,-60919.57892273796
2462512.0833333335,-325686.4551621884,-345406.6375650615,-61057.52117404075
2462512.125,-264458.76253251045,-341312.66728539823,-60274.26775180065
2462512.1666666665,-197998.94855085443,-330389.2012443247,-58284.97500739617
2462512.2083333335,-126075.11867538541,-310172.4260108942,-54656.28424305135
2462512.25,-48973.90868842246,-276695.36283900694,-48691.13699918977
2462512.2916666665,31148.870671383545,-223252.35088664238,-39212.99091116875
2462512.3333333335,105425.52375858685,-139002.1457539914,-24325.304311944583
2462512.375,145526.62723228245,-16761.789584349423,-2794.906419395495
2462512.4166666665,118265.16410854248,111498.7846380321,19723.61745452616
2462512.4583333335,45955.69365000133,203493.172554385,35819.96757063408
2462512.5,-36471.5979098421,260397.01408233205,45737.17272845017
2462512.5416666665,-116392.61237197858,294369.1068556832,51625.74856210483
2462512.5833333335,-190696.0877812688,313423.3037275322,54897.67871118739
2462512.625,-258913.92243889943,322252.2964364552,56378.39888912041
2462512.6666666665,-321288.51687710005,323714.55731025146,56570.183900594086
2462512.7083333335,-378228.1500637252,319653.7941963879,55796.74248239678
2462512.75,-430146.13870145835,311322.76292373467,54277.87913543612
2462512.7916666665,-477415.112697506,299611.03351558925,52169.584782334474
2462512.8333333335,-520357.9010421628,285174.1040550298,49586.74851833014
2462512.875,-559250.015220195,268510.4196414279,46616.69770571096
2462512.9166666665,-594325.2964725968,250009.44222455917,43327.6442357194
2462512.9583333335,-625781.8503078637,229982.8620825874,39774.16605172074
2462513.0,-653787.352212229,208685.5775302621,36000.89021016613
2462513.0416666665,-678483.5125674097,186330.2372107793,32045.044938086026
2462513.0833333335,-699989.7331425267,163097.60457532716,27938.27798133036
2462513.125,-718406.0600691813,139144.13840526674,23707.986213965283
2462513.1666666665,-733815.5473748092,114607.67709922082,19378.31246866149
2462513.2083333335,-746286.1327078,89611.80913093477,14970.911876139839
2462513.25,-755872.108867536,64269.322896154954,10505.55675720329
2462513.2916666665,-762615.2570091398,38685.009367854924,6000.628067338983
2462513.3333333335,-766545.6917395135,12958.013990301795,1473.5278753806297
2462513.375,-767682.4549987697,-12816.115419450827,-3058.9613586322257
2462513.4166666665,-766033.884298704,-38543.56948489383,-7580.35046507428
2462513.4583333335,-761597.7710640528,-64130.51023778112,-12074.133244303766
2462513.5,-754361.3159648812,-89481.3086596493,-16523.47675167975
2462513.5416666665,-744300.8797322873,-114496.69987055013,-20910.89690144045
2462513.5833333335,-731381.5195345021,-139071.76148287387,-25217.9027655962
2462513.625,-715556.2921020671,-163093.60372267553,-29424.589960824334
2462513.6666666665,-696765.295014179,-186438.63096593917,-33509.158415754755
2462513.7083333335,-674934.4065782529,-208969.1884964468,-37447.32174068426
2462513.75,-649973.672505588,-230529.33732613153,-41211.56293315451
2462513.7916666665,-621775.2747533121,-250939.38994121779,-44770.171805404345
2462513.8333333335,-590211.0068080069,-269988.66715210944,-48085.9691503002
2462513.875,-555129.1767475435,-287425.6594763183,-51114.57400769861
2462513.9166666665,-516350.8808505452,-302944.321399275,-53801.990413864645
2462513.9583333335,-473665.6764662547,-316164.45555235876,-56081.15451571623
2462514.0,-426826.93357843504,-326602.79068265605,-57866.84531769046
2462514.0416666665,-375547.81773308926,-333628.88940489764,-59047.92920024298
2462514.0833333335,-319500.645426014,-336395.3236965253,-59475.08435018696
2462514.125,-258327.23257025157,-333722.19447490043,-58940.51067278807
2462514.1666666665,-191681.90295823227,-323896.57874376443,-57142.71885388556
2462514.2083333335,-119372.48417799672,-304305.81755883846,-53622.21299821707
2462514.25,-41813.93863202846,-270739.42981733364,-47639.25001541057
2462514.2916666665,38430.563375483514,-216110.18515859704,-37950.641321017436
2462514.3333333335,111229.4245840599,-129306.70189390189,-22613.78630301817
2462514.375,146115.6718567937,-5217.689513944298,-762.4254272866473
2462514.4166666665,113087.51037852827,120347.33175557587,21276.461487754226
2462514.4583333335,38412.070604332446,208007.88255633647,36607.75330177969
2462514.5,-44636.53281339492,261160.66633086494,45863.82990340946
2462514.5416666665,-124504.77873033419,291826.8790428291,51170.21276574823
2462514.5833333335,-198375.28035489513,307800.0382615853,53899.95585499768
2462514.625,-265865.8776633624,313667.54372049257,54859.90750325519
2462514.6666666665,-327250.3760424645,312242.57020010106,54544.31724992889
2462514.7083333335,-382951.57199008914,305350.2961397797,53273.58981453575
2462514.75,-433390.73713868187,294237.203750199,51266.39882999725
2462514.7916666665,-478945.1557610105,279792.5412937034,48678.664725449264
2462514.8333333335,-519940.19295710267,262674.58630251413,45625.76017742411
2462514.875,-556652.2628448546,243386.333313963,42195.8128693347
2462514.9166666665,-589314.6956861025,222322.94066996628,38458.04041472092
2462514.9583333335,-618123.7763075057,199802.6684499066,34468.182822336305
2462515.0,-643244.0929186398,176087.768259275,30272.169207343162
2462515.0416666665,-664813.0058536979,151399.04030534148,25908.672122371736
2462515.0833333335,-682944.2770607575,125926.27982472078,21410.940104306144
2462515.125,-697730.9680772931,99835.99009276947,16808.15044057593
2462515.1666666665,-709247.7205497593,73277.24457589412,12126.437189971242
2462515.2083333335,-717552.5190969313,46386.282599985585,7389.697087323942
2462515.25,-722688.0168021481,19290.23906291925,2620.24366258151
2462515.2916666665,-724682.4843806505,-7889.70609878556,-2160.6402593861158
2462515.3333333335,-723550.4267363332,-35035.544376065416,-6932.214044824464
2462515.375,-719292.8953048645,-62029.849359246415,-11673.824559754781
2462515.4166666665,-711897.5108246413,-88753.23180617951,-16364.458976340607
2462515.4583333335,-701338.1983604596,-115081.69455538204,-20982.279662731744
2462515.5,-687574.6238944556,-140883.73230188663,-25504.113894915106
2462515.5416666665,-670551.3090446278,-166016.99332233748,-29904.86620500377
2462515.5833333335,-650196.3871300557,-190324.2697426811,-34156.812289116635
2462515.625,-626419.9500121088,-213628.50019668348,-38228.71883611325
2462515.6666666665,-599111.9221691566,-235726.33660081078,-42084.71039646039
2462515.7083333335,-568139.3902251929,-256379.61531931156,-45682.767226890064
2462515.75,-533343.3228196233,-275303.72905362933,-48972.677586336584
2462515.7916666665,-494534.66239953344,-292151.3225023574,-51893.16721996177
2462515.8333333335,-451489.9190097702,-306488.7498194286,-54367.7557526851
2462515.875,-403946.8012891163,-317760.9786487171,-56298.58191179762
2462515.9166666665,-351601.4841233947,-325237.3783375915,-57556.869758765766
2462515.9583333335,-294111.9368559151,-327924.5490751019,-57967.606914999604
2462516.0,-231119.53830819772,-324419.64646859537,-57283.780992524575
2462516.0416666665,-162324.18079079516,-312650.9877232467,-55140.85663528177
2462516.0833333335,-87721.71311761365,-289396.7033935604,-50972.40565894572
